cell_line,gene,escape_prone_mean,stable_tis_mean,log_fold_change,absolute_log_fold_change,mann_whitney_statistic,p_value,adjusted_p_value,direction
T47D,LGALS3,1.092905044555664,1.3639785051345825,-0.27107346057891846,0.27107346057891846,23172410.0,0.0,0.0,lower_in_escape_prone
T47D,NCAPG,0.514210045337677,0.2447158545255661,0.2694941759109497,0.2694941759109497,34596616.0,0.0,0.0,higher_in_escape_prone
T47D,RACGAP1,0.6538366675376892,0.3861222565174103,0.26771441102027893,0.26771441102027893,34071696.0,0.0,0.0,higher_in_escape_prone
T47D,ELF3,0.4947856664657593,0.762434720993042,-0.2676490545272827,0.2676490545272827,23153026.0,0.0,0.0,lower_in_escape_prone
T47D,PHF19,0.5971888303756714,0.32967427372932434,0.26751455664634705,0.26751455664634705,34263960.0,0.0,0.0,higher_in_escape_prone
T47D,KIF23,0.6081231832504272,0.34217825531959534,0.2659449279308319,0.2659449279308319,34166552.0,0.0,0.0,higher_in_escape_prone
T47D,CCNA2,0.4477042853832245,0.18245626986026764,0.26524800062179565,0.26524800062179565,34549056.0,0.0,0.0,higher_in_escape_prone
T47D,TNFRSF12A,0.5172476768493652,0.779216468334198,-0.26196879148483276,0.26196879148483276,23290098.0,0.0,0.0,lower_in_escape_prone
T47D,FUS,1.5510118007659912,1.2901238203048706,0.2608879804611206,0.2608879804611206,34851952.0,0.0,0.0,higher_in_escape_prone
T47D,CD24,1.2587069272994995,1.5195633172988892,-0.26085638999938965,0.26085638999938965,23411340.0,0.0,0.0,lower_in_escape_prone
T47D,DSCAM-AS1,1.388841986656189,1.6480011940002441,-0.2591592073440552,0.2591592073440552,23543662.0,0.0,0.0,lower_in_escape_prone
T47D,UBE2S,0.6188167929649353,0.3610233962535858,0.2577933967113495,0.2577933967113495,33657192.0,0.0,0.0,higher_in_escape_prone
T47D,TUBA1A,0.9710860848426819,1.2274932861328125,-0.2564072012901306,0.2564072012901306,23696848.0,0.0,0.0,lower_in_escape_prone
T47D,CDCA5,0.5982507467269897,0.34188950061798096,0.2563612461090088,0.2563612461090088,34113400.0,0.0,0.0,higher_in_escape_prone
T47D,FAM83D,0.4837552309036255,0.22790826857089996,0.2558469772338867,0.2558469772338867,34175840.0,0.0,0.0,higher_in_escape_prone
T47D,CALM2,2.0327224731445312,1.7773069143295288,0.25541555881500244,0.25541555881500244,35223632.0,0.0,0.0,higher_in_escape_prone
T47D,KIF20A,0.40684396028518677,0.15406063199043274,0.25278332829475403,0.25278332829475403,34279512.0,0.0,0.0,higher_in_escape_prone
